,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,14_day_MA,14_day_STD,Upper Band,Lower Band
2017-11-08,TCS,EQ,2710.05,2723.0,2759.0,2718.25,2737.0,2735.0,2741.21,701126,1921934581.1,48744,444618,63.41,2017,11,0.920647220530979,Slight positive,2616.6535714285724,54.877781914018506,2726.4091352566093,2506.8980076005355
2017-11-09,TCS,EQ,2735.0,2750.0,2750.0,2719.3,2740.0,2736.4,2732.42,576216,1574462789.6,27786,370073,64.22,2017,11,0.0511882998171842,Slight or No Change,2627.5464285714297,62.48425790760538,2752.5149443866403,2502.577912756219
2017-11-10,TCS,EQ,2736.4,2722.2,2726.0,2693.35,2710.0,2708.75,2706.84,678283,1836006500.8,22485,456167,67.25,2017,11,-1.0104516883496562,Negative,2636.1785714285725,64.88727418877117,2765.953119806115,2506.40402305103
2017-11-13,TCS,EQ,2708.75,2702.05,2777.4,2702.05,2756.55,2758.95,2757.27,748498,2063808990.25,44504,379983,50.77,2017,11,1.853253345639128,Positive,2649.0750000000007,70.24170838009492,2789.5584167601905,2508.591583239811
2017-11-14,TCS,EQ,2758.95,2756.55,2756.55,2707.5,2710.0,2714.6,2718.61,828626,2252715046.95,50733,554011,66.86,2017,11,-1.607495605212128,Negative,2660.1250000000005,67.23814093321072,2794.6012818664217,2525.648718133579
2017-11-15,TCS,EQ,2714.6,2706.0,2755.0,2701.35,2710.0,2705.3,2736.73,3335417,9128129058.75,47448,2841173,85.18,2017,11,-0.3425919104103614,Slight or No Change,2672.0142857142864,58.261190501754996,2788.5366667177964,2555.4919047107765
2017-11-16,TCS,EQ,2705.3,2710.0,2763.0,2686.95,2739.9,2746.65,2734.0,826741,2260313403.15,45075,380359,46.01,2017,11,1.5284811296344183,Positive,2683.610714285715,55.5536995187563,2794.7181133232275,2572.5033152482024
2017-11-17,TCS,EQ,2746.65,2748.1,2748.1,2703.6,2708.2,2707.3,2719.89,662732,1802558457.2,34043,411909,62.15,2017,11,-1.432654324358762,Negative,2690.117857142858,52.28983798592122,2794.6975331147005,2585.538181171016
2017-11-20,TCS,EQ,2707.3,2715.0,2726.9,2695.3,2697.9,2703.45,2709.98,507249,1374632868.45,27013,360469,71.06,2017,11,-0.14220810401508466,Slight or No Change,2695.792857142858,48.75389474439703,2793.300646631652,2598.285067654064
2017-11-21,TCS,EQ,2703.45,2701.0,2701.0,2666.0,2670.25,2672.95,2678.52,763870,2046044818.55,38552,527247,69.02,2017,11,-1.1281880560025104,Negative,2700.8000000000006,41.54022147269434,2783.8804429453894,2617.719557054612
2017-11-22,TCS,EQ,2672.95,2673.0,2709.7,2672.4,2681.4,2680.65,2690.88,911312,2452235277.45,67085,612065,67.16,2017,11,0.28807123215923713,Slight or No Change,2704.692857142858,36.21932047712487,2777.131498097108,2632.254216188608
2017-11-23,TCS,EQ,2680.65,2681.0,2693.0,2669.0,2676.55,2681.25,2684.25,396735,1064937717.75,31522,189438,47.75,2017,11,0.02238263107827709,Slight or No Change,2709.060714285715,27.984103857043927,2765.028921999803,2653.0925065716274
2017-11-24,TCS,EQ,2681.25,2682.0,2702.9,2673.1,2688.2,2688.05,2688.26,1143756,3074710398.85,47991,936777,81.9,2017,11,0.2536130536130665,Slight or No Change,2710.667857142858,25.85839848054252,2762.384654103943,2658.951060181773
2017-11-27,TCS,EQ,2688.05,2688.0,2695.9,2662.2,2683.05,2685.85,2678.65,928393,2486839610.35,40042,725134,78.11,2017,11,-0.08184371570469917,Slight or No Change,2708.939285714286,26.698099749238402,2762.335485212763,2655.543086215809
2017-11-28,TCS,EQ,2685.85,2686.0,2702.4,2670.0,2681.05,2685.3,2679.22,455858,1221342323.8,29742,298928,65.57,2017,11,-0.02047768862742938,Slight or No Change,2705.3892857142864,26.26707633999367,2757.923438394274,2652.855133034299
2017-11-29,TCS,EQ,2685.3,2677.5,2693.0,2650.0,2653.65,2658.15,2674.7,723766,1935855717.7,41795,531968,73.5,2017,11,-1.0110602167355598,Negative,2699.8000000000006,27.45905343206706,2754.718106864135,2644.8818931358664
